"x","y","fips","abbr","full","county"
737626.58423882,-921817.16988808,"05049","AR","Arkansas","Fulton County"
625624.47762426,-1131919.15650637,"05051","AR","Arkansas","Garland County"
699446.24774892,-1157912.17743155,"05053","AR","Arkansas","Grant County"
850303.63003293,-939211.60757632,"05055","AR","Arkansas","Greene County"
588659.91347898,-1234418.73779902,"05057","AR","Arkansas","Hempstead County"
660024.94923673,-1161300.07546051,"05059","AR","Arkansas","Hot Spring County"
558629.22493424,-1192952.84516204,"05061","AR","Arkansas","Howard County"
762090.1825707,-991723.2748062,"05063","AR","Arkansas","Independence County"
730399.97949041,-954480.19009923,"05065","AR","Arkansas","Izard County"
796278.32109709,-1003110.74686196,"05067","AR","Arkansas","Jackson County"
740326.27047369,-1154023.43441216,"05069","AR","Arkansas","Jefferson County"
588784.83979407,-1024060.93423508,"05071","AR","Arkansas","Johnson County"
596249.25066752,-1294686.19681277,"05073","AR","Arkansas","Lafayette County"
792913.85783696,-955682.02955157,"05075","AR","Arkansas","Lawrence County"
842384.66917143,-1089496.90244757,"05077","AR","Arkansas","Lee County"
758504.14083363,-1191720.40648784,"05079","AR","Arkansas","Lincoln County"
526795.11161845,-1237255.70027665,"05081","AR","Arkansas","Little River County"
579020.13150957,-1059984.87475609,"05083","AR","Arkansas","Logan County"
742668.74643865,-1102392.5972938,"05085","AR","Arkansas","Lonoke County"
566448.86164006,-979655.81449904,"05087","AR","Arkansas","Madison County"
655039.86138868,-947554.36480042,"05089","AR","Arkansas","Marion County"
571827.36908019,-1274788.60275335,"05091","AR","Arkansas","Miller County"
893786.08864556,-965345.55825693,"05093","AR","Arkansas","Mississippi County"
803899.52719117,-1105376.83295367,"05095","AR","Arkansas","Monroe County"
582889.05696071,-1139144.59610626,"05097","AR","Arkansas","Montgomery County"
623127.05041741,-1236773.32059353,"05099","AR","Arkansas","Nevada County"
613397.85777641,-983361.67863144,"05101","AR","Arkansas","Newton County"
657524.71524398,-1234390.67421456,"05103","AR","Arkansas","Ouachita County"
649766.0206044,-1086935.37895369,"05105","AR","Arkansas","Perry County"
842632.61309735,-1120995.34050591,"05107","AR","Arkansas","Phillips County"
586823.7829006,-1184795.93944918,"05109","AR","Arkansas","Pike County"
860985.30736984,-998563.38389221,"05111","AR","Arkansas","Poinsett County"
532534.07689202,-1145118.9595209,"05113","AR","Arkansas","Polk County"
631164.50881378,-1042462.10835776,"05115","AR","Arkansas","Pope County"
774187.27274529,-1089807.65747513,"05117","AR","Arkansas","Prairie County"
707884.05475121,-1103818.56612185,"05119","AR","Arkansas","Pulaski County"
