"x","y","order","hole","piece","group","fips","abbr","full"
1249459.0338422,-1458116.92060592,127,FALSE,1,"01.1","01","AL","Alabama"
1227203.42908203,-1461349.38172398,128,FALSE,1,"01.1","01","AL","Alabama"
1227162.08750552,-1461355.81118082,129,FALSE,1,"01.1","01","AL","Alabama"
1213042.08034724,-1463539.03097764,130,FALSE,1,"01.1","01","AL","Alabama"
1202282.32857749,-1465171.52309044,131,FALSE,1,"01.1","01","AL","Alabama"
1193403.33112818,-1466532.24596809,132,FALSE,1,"01.1","01","AL","Alabama"
1185887.08643445,-1467642.93488336,133,FALSE,1,"01.1","01","AL","Alabama"
1185876.8434593,-1467644.44362076,134,FALSE,1,"01.1","01","AL","Alabama"
1187161.05670077,-1472595.17863705,135,FALSE,1,"01.1","01","AL","Alabama"
1184265.7196633,-1482582.60569027,136,FALSE,1,"01.1","01","AL","Alabama"
1194421.80991656,-1492100.41079295,137,FALSE,1,"01.1","01","AL","Alabama"
1196596.82647614,-1495045.84179191,138,FALSE,1,"01.1","01","AL","Alabama"
1204962.38991108,-1498919.04201681,139,FALSE,1,"01.1","01","AL","Alabama"
1209460.06783615,-1502220.22680345,140,FALSE,1,"01.1","01","AL","Alabama"
1210098.53387057,-1508029.74776053,141,FALSE,1,"01.1","01","AL","Alabama"
1207966.54622382,-1514393.54787974,142,FALSE,1,"01.1","01","AL","Alabama"
1207292.90424213,-1519271.92437119,143,FALSE,1,"01.1","01","AL","Alabama"
1210850.80858419,-1524357.92085978,144,FALSE,1,"01.1","01","AL","Alabama"
1215723.32898465,-1525946.55172902,145,FALSE,1,"01.1","01","AL","Alabama"
1209966.81287629,-1530532.66522145,146,FALSE,1,"01.1","01","AL","Alabama"
1208824.21524404,-1537303.11511356,147,FALSE,1,"01.1","01","AL","Alabama"
1203387.25612459,-1545209.92023328,148,FALSE,1,"01.1","01","AL","Alabama"
1190555.16219756,-1550501.90212182,149,FALSE,1,"01.1","01","AL","Alabama"
1175344.18155084,-1555068.30491047,150,FALSE,1,"01.1","01","AL","Alabama"
1168084.54104299,-1554878.26829143,151,FALSE,1,"01.1","01","AL","Alabama"
1175843.54738303,-1549250.24939248,152,FALSE,1,"01.1","01","AL","Alabama"
1176182.14469093,-1544245.36895301,153,FALSE,1,"01.1","01","AL","Alabama"
1168863.49875288,-1538670.95464041,154,FALSE,1,"01.1","01","AL","Alabama"
1163337.94395951,-1532454.05709723,155,FALSE,1,"01.1","01","AL","Alabama"
1160956.06519593,-1528189.48337838,156,FALSE,1,"01.1","01","AL","Alabama"
1163130.66124463,-1520790.7672889,157,FALSE,1,"01.1","01","AL","Alabama"
1161401.47988856,-1517125.92161718,158,FALSE,1,"01.1","01","AL","Alabama"
1158976.59513667,-1510009.83650331,159,FALSE,1,"01.1","01","AL","Alabama"
1151182.90257877,-1507504.34981383,160,FALSE,1,"01.1","01","AL","Alabama"
1146605.0841833,-1512617.46418275,161,FALSE,1,"01.1","01","AL","Alabama"
